,,,,,,,,,
,halal_found,business_name,certificate_number,certificate_issue_date,total_products,restaurant_name,Type ,Latitude,Longitude
,True,PT. HON CHUAN INDONESIA,ID00410002743840323,29 December 2025,35,Kopi Kenangan,Cafe,-6.273059856,106.6395038
,False,,,,0,Ewan Pao,,,
,False,,,,0,Lim Kok Tong,,,
,False,,,,0,Yide Terrace,,,
,False,,,,0,Teazzi,,,
,True,PT. SERENA HARSA UTAMA,ID32310000182620721,24 October 2024,1,Mie Bandung Kejaksaan 1964,Indonesian,-6.27293342,106.6393845
,False,,,,0,Lor Payoh,,,
,True,PT. KARYA CIPTA AROMA,ID31110024199210725,08 June 2026,42,Luuca,Dessert,-6.272531749,106.6384988
,False,,,,0,Suji-Suan Cai Yu,,,
,False,,,,0,Restoran kan Chi Yu Ba,,,
,False,,,,0,Bakmi Bintang Gading,,,
,True,Suji Suan Cai Yu & Su Wah Hongkong Flavour,ID31110077004770626,25 June 2026,1,Su Wah,Asian,-6.272652532,106.637634
,False,,,,0,London Layers,,,
,False,,,,0,Frankfurter Hotdog & Ribs,,,
,False,,,,0,Bae Bae Galbi,,,
,False,,,,0,Grandly,,,
,False,,,,0,Pork En Roll,,,
,False,,,,0,Bakmi Congkee,,,
,False,,,,0,Kesankopi,,,
,False,,,,0,The Crabbys,,,
,False,,,,0,Sate Tegal Mba Wie,,,
,False,,,,0,Little Asia,,,
,False,,,,0,Ropangku,,,
,False,,,,0,Rich Table,,,
,False,,,,0,Bradda,,,
,False,,,,0,SOL Cafe,,,
,False,,,,0,Bakwan Dempo 19,,,
,True,MAULINA NOOR ZUHROIDA,ID35110015300920124,19 February 2024,9,Ottimo,Bakery,,
,False,,,,0,Sokocha,,,
,False,,,,0,Kkul Jaem,,,
,False,,,,0,Tos Toast & Coffee,,,
,False,,,,0,Funaya Sushi,,,
,False,,,,0,Chouxlala,,,
,False,,,,0,Chuan Shaokao,,,
,False,,,,0,Cafe & Resto Yunqi,,,
,False,,,,0,Bubur Ayam Organik 777,,,
,False,,,,0,Martabak Engkong Lim,,,
,False,,,,0,Kiraku Izakayu,,,
,False,,,,0,Eat Out,,,
,False,,,,0,Simply Thai,,,
,True,PT LAUTAN BUMI ANGKASA,ID31210021666320425,23 April 2025,15,My Coco,Beverages,-6.273093102,106.6370356
,False,,,,0,Soto Mie Pak Kadir,,,
,False,,,,0,Narie’s Eatery & Coffee,,,
,True,MILLED ARTISAN BAKERY,ID36110024524320725,22 July 2025,46,Milled Artisan Bakery,Bakery,-6.273056902,106.6408037
,False,,,,0,Bolu Medan C&F,,,
,False,,,,0,Kupi Plus Ruti,,,
,True,FENI SURASTI,ID35410026354130825,23 August 2025,1,Nasi Bakar Noni,Indonesian,-6.273075463,106.6391122
,False,,,,0,Rujak CMC,,,
,False,,,,0,Kwetiauw CMC,,,
,True,Bistro & Steak Teman Nongkrong Sawangan Parung,ID32110018267580524,13 June 2024,31,Teman Nongkrong,Beverages,-6.272687449,106.6379859
,False,,,,0,Kedai Tjap Semarang,,,
,False,,,,0,Galerie Klontongan Curated,,,
,False,,,,0,Kungfu Hotpot,,,
,False,,,,0,Lomie Pinangsia,,,
,False,,,,0,All Ace Burger & Chicken,,,
,False,,,,0,Uniyum,,,
,False,,,,0,Pempek Kaka 17,,,
,False,,,,0,King Pork Makassar,,,
,False,,,,0,ROTI & The Alchemist,,,
,False,,,,0,Butanoya,,,
,False,,,,0,Aruku Coffee & Studio,,,
,True,SHINDY TANIA,ID31110018735670724,23 July 2024,10,Kwetiau Laopan,Asian,-6.305423487,106.6856005
,True,PT  Sinar Bintang Purnama,ID32110034962151125,26 November 2025,1,Sinar Medan,Indonesian,-6.273258946,106.6370151
,False,,,,0,Pho Bac,,,
,False,,,,0,Es Ce Hun Tiau & Bongko Ny. Wendy,,,
,True,SHYNTIA WIJAYA,ID36110019453410824,02 September 2024,1,The Sanctuary,Cafe,-6.273225953,106.6377299
,False,,,,0,Kwetiau Aseng,,,
,False,,,,0,Benjamin Steak by Pig Hunter,,,
,False,,,,0,Pig Hunter,,,
,True,ZEFRI ANDI,ID14410037386781225,16 December 2025,10,Home Made Bakery,Bakery,-6.273240199,106.6369683
,False,,,,0,Dapur Mak Onenk,,,
